"experiment","tray","row","column","block","genotype"
"1001G",1,1,1,1,"6046"
"1001G",1,1,2,1,"6092"
"1001G",1,1,3,1,"6184"
"1001G",1,1,4,1,NA
"1001G",1,1,5,1,"1158"
"1001G",1,1,6,1,"6244"
"1001G",1,1,7,1,"6024"
"1001G",1,1,8,1,"8231"
"1001G",1,1,9,1,"6237"
"1001G",1,1,10,1,"6017"
"1001G",1,1,11,1,"6125"
"1001G",1,2,1,2,"6017"
"1001G",1,2,2,2,"6184"
"1001G",1,2,3,2,"8231"
"1001G",1,2,4,2,"6046"
"1001G",1,2,5,2,"6024"
"1001G",1,2,6,2,"6244"
"1001G",1,2,7,2,"6237"
"1001G",1,2,8,2,"6125"
"1001G",1,2,9,2,"1158"
"1001G",1,2,10,2,"6092"
"1001G",1,2,11,2,NA
"1001G",1,3,1,3,"6237"
"1001G",1,3,2,3,"6244"
"1001G",1,3,3,3,"6092"
"1001G",1,3,4,3,"8231"
"1001G",1,3,5,3,"1158"
"1001G",1,3,6,3,"6017"
"1001G",1,3,7,3,NA
"1001G",1,3,8,3,"6184"
"1001G",1,3,9,3,"6046"
"1001G",1,3,10,3,"6125"
"1001G",1,3,11,3,"6024"
"1001G",1,4,1,4,NA
"1001G",1,4,2,4,"8231"
"1001G",1,4,3,4,"6237"
"1001G",1,4,4,4,"6244"
"1001G",1,4,5,4,"6046"
"1001G",1,4,6,4,"6017"
"1001G",1,4,7,4,"6184"
"1001G",1,4,8,4,"6024"
"1001G",1,4,9,4,"6125"
"1001G",1,4,10,4,"1158"
"1001G",1,4,11,4,"6092"
"1001G",1,5,1,5,"6017"
"1001G",1,5,2,5,"8231"
"1001G",1,5,3,5,"6244"
"1001G",1,5,4,5,"6184"
"1001G",1,5,5,5,"6237"
"1001G",1,5,6,5,"1158"
"1001G",1,5,7,5,"6092"
"1001G",1,5,8,5,"6046"
"1001G",1,5,9,5,"6024"
"1001G",1,5,10,5,NA
"1001G",1,5,11,5,"6125"
"1001G",1,6,1,6,"6125"
"1001G",1,6,2,6,"6092"
"1001G",1,6,3,6,"6046"
"1001G",1,6,4,6,"6237"
"1001G",1,6,5,6,NA
"1001G",1,6,6,6,"1158"
"1001G",1,6,7,6,"6017"
"1001G",1,6,8,6,"8231"
"1001G",1,6,9,6,"6244"
"1001G",1,6,10,6,"6024"
"1001G",1,6,11,6,"6184"
"1001G",2,1,1,7,"6092"
"1001G",2,1,2,7,NA
"1001G",2,1,3,7,"6024"
"1001G",2,1,4,7,"6125"
"1001G",2,1,5,7,"6017"
"1001G",2,1,6,7,"8231"
"1001G",2,1,7,7,"6184"
"1001G",2,1,8,7,"1158"
"1001G",2,1,9,7,"6244"
"1001G",2,1,10,7,"6046"
"1001G",2,1,11,7,"6237"
"1001G",2,2,1,8,NA
"1001G",2,2,2,8,"6017"
"1001G",2,2,3,8,"6184"
"1001G",2,2,4,8,"6046"
"1001G",2,2,5,8,"6125"
"1001G",2,2,6,8,"6237"
"1001G",2,2,7,8,"8231"
"1001G",2,2,8,8,"6024"
"1001G",2,2,9,8,"6092"
"1001G",2,2,10,8,"6244"
"1001G",2,2,11,8,"1158"
"1001G",2,3,1,9,"6024"
"1001G",2,3,2,9,"6184"
"1001G",2,3,3,9,"6244"
"1001G",2,3,4,9,"6017"
"1001G",2,3,5,9,"6046"
"1001G",2,3,6,9,"8231"
"1001G",2,3,7,9,NA
"1001G",2,3,8,9,"6125"
"1001G",2,3,9,9,"6237"
"1001G",2,3,10,9,"1158"
"1001G",2,3,11,9,"6092"
"1001G",2,4,1,10,"6125"
"1001G",2,4,2,10,"6244"
"1001G",2,4,3,10,"6024"
"1001G",2,4,4,10,"6237"
